raw_line,year,decade,genre,source,context,exclusion_reason
686,1983,1980,FIC,LonesomeGods,""" I'he captain, he's been out to China and Japan twice now. Fie carries other goods, of course, but he does better124 LOUIS L'AMOURwith the furs",OCR noise
688,1983,1980,FIC,LonesomeGods,"seen him alive. "" "" You are mistaken. You have seen another. FIe could not survive. "" "" The father survived. "" | Blue veins showed",OCR noise
693,1987,1980,FIC,OutPhaze,"! "" "" Aye. "" She disengaged, giving him no further answer. Fie sighed. "" There was so much he had yet to learn about the",OCR noise
694,1987,1980,FIC,OutPhaze,"could not keep the pace. "" I'll try, "" he said. Fie tried, and to his surprise found he was able. The body was young",OCR noise
695,1987,1980,FIC,LegacyHeorot,"of Carlos's leash, had learned to be quietly respectful of the wire. fie could stand within two feet of it without flinching but would venture no closer.",OCR noise
697,1989,1980,FIC,FireDream,"can, then pulled himself to the hack of the hootch to look around. fie looked and listened for five minutes; the camp was silent and deserted. Ile",OCR noise
703,1992,1990,FIC,Ploughshares,"his efforts have been mild, ritualized, She is his first real girlfriend. Fie is pleased to be kissing and touching her even at the level of intimacy she",OCR noise
704,1992,1990,FIC,Ploughshares,"and it's 11:35 by the oven clock as he tiptoes across the kitchen. Fie has never missed curfew before, but the evening is still warm on his skin",OCR noise
705,1992,1990,FIC,Ploughshares,"You left. "" # I said something to him about wishing him well. Fie didn't care. I was gone. # Camus and Sartre never ate better",OCR noise
706,1993,1990,FIC,SplitHeirs,"said, were up to Washington himself. Arnold had no fear of Washington. fie was vindicated. He celebrated by buying the most elegant house in Pennsylvania, Mount",OCR noise
707,1993,1990,FIC,SplitHeirs,"kitchen. His hair felt dry, even though he had washed his face. fie was very tired. He sat on a chair in the kitchen, leaning against",OCR noise
723,1997,1990,TV/MOV,Star Trek: Voyager,your stomach. My tricorder's not working. There appears to be a dampening fie... Tuvok? Go. I'm not going to... That's an order,metalinguistic mention
725,1999,1990,FIC,Play:FuddyMeers,"oda tee. Da die. Oomay Fee an bah tin happy. Deh oo fie bah an deh figit. An I hada toke, so king talk bah.",non-English
729,2001,2000,FIC,FantasySciFi,shoulder. I jumped and turned to find my breakfast waiter smiling at me. Fie removed his hand but I couldn't bring myself to ask what he wanted.,OCR noise
731,2002,2000,MAG,Jet,". "" That fan has included hits that ranged from Walk On By and At fie to Deja Vu and I Say A Little Prayer. And, along the way",OCR noise
738,2005,2000,FIC,ShakespearesSecret,"not just in the way all parents were weird. He used words like "" Fie "" and "" tetchy, "" and he could quote long passages from Shakespeare by",metalinguistic mention
739,2005,2000,NF/ACAD,PlanBFurtherThoughts,"at any rate, one of the top five most annoying things about God-is that fie or She rarely answers right away. It can take days, weeks. Some",OCR noise
746,2010,2010,FIC,ScandinavianReview,My brother is swearing in there. He hardly greeted me when they arrived. FIe throws something hard on the tile floor. - What the hell do you shower,OCR noise
753,2016,2010,NF/ACAD,Journalism History,"times on various New York charges including peddling, burglary, and attempted rape. Fie had also been arrested three times by the Rutgers University police, and there were",OCR noise
756,2019,2010,FIC,Analog,"said. He smiled. He hadn't been this high since the sixties. Fie wondered if he could still wear a flower in his beard. # "" You",OCR noise
757,2019,2010,FIC,Analog,"rock within. If you get close to one of these objects, you will fie able to feel the infrared radiation from them on your face. Remember; your",OCR noise
