LINE	YEAR	GENRE	SOURCE	CONTEXT
57	1849	FIC	KateAccomplice	dear and only child!' And the poor girl sobbed aloud. Fie, fie!' exclaimed Light Joe, with an attempt at a laugh; (he
58	1849	MAG	AmWhigRev	controlling power behind him. Can he be satisfied with the subordination, that cries fie! continually to his " pride of place? " For a time, it
1	1850	FIC	ScarletLetter	and pious minister of the Word, like the Reverend Mr. Dimmesdale! " " Fie, woman, fie! " cried the old lady, shaking her finger at
2	1850	FIC	ScarletLetter	the Word, like the Reverend Mr. Dimmesdale! " " Fie, woman, fie! " cried the old lady, shaking her finger at Hester. " Dost
3	1850	FIC	RichardEdneyGovernors	The wounds of Young America heal quick. A breach in a mill-dam, -- fie! it is no more than a bird-track through our incalculable sky. Then there
4	1850	NF/ACAD	PropositionsConcerning	products of the whole terrir tory could be exchanged abroad in the great purchases that fie trade treats of in large discourse, it would only make a few wealthy marts
5	1851	FIC	EveningsAtDonaldson	? " A glance whose brightness melted into tears was her only answer. " Fie! fie! tears again? I shall have to scold my sister, "
6	1851	FIC	EveningsAtDonaldson	A glance whose brightness melted into tears was her only answer. " Fie! fie! tears again? I shall have to scold my sister, " said Edward
7	1852	FIC	HatchieGuardian	archness; but the crimson cheek and tremulous lips entirely defeated the intention. " Fie, sister! You are jesting now, yourself, " replied Henry, with
8	1852	FIC	HatchieGuardian	to mention the name I bore in the innocent days of childhood. " " Fie, Delia! " said Dalhousie, with a pleasant laugh, " what have
9	1852	FIC	Witchcraft	rumor, once born, Has children and great children beyond account. Ambla. Fie, fie, Gideon, they' re better useful: Whene'er I have hard
10	1852	FIC	Witchcraft	once born, Has children and great children beyond account. Ambla. Fie, fie, Gideon, they' re better useful: Whene'er I have hard thoughts of
11	1853	FIC	AmericanFamily	" and if we are, we may never get back again! " " Fie! Anne, don't be a coward, for I am very certain we
12	1853	FIC	ChevaliersFrance	crowded around his footstool, but in vain. " Ha! my lord -- fie! " cried he, gnashing his teeth, " shame ye not, lords
13	1853	MAG	Harpers	of you more force of character. They tell me that you weep continually. Fie! How unbecoming that is. Your letter of the 7th of January gave me
14	1853	MAG	Harpers	children can not be happy without a little glory, you should not say, fie! at it so much. Josephine, your heart is excellent, but your
15	1853	MAG	NewEngYaleRev	, what to him are the objections and rebukes of the man of God! Fie, on the opinions of the poor minister! Let him know his place,
16	1853	NF/ACAD	RudimentsArtBuilding	2nd. It may be glued np in thicknesses, as shown in fig. Fie 93-' **' wn' cn must ## when thoroughly dry, be planed
17	1854	FIC	PersonsPictures	and bows! The traitors are without! The doors are barred! Treason! fie, treason! " It was the voice of Catherine Douglass -- and at her
18	1854	FIC	PersonsPictures	in the king's sight, " cried Crofts, who came first. " Fie! gentlemen! hold your hands! You are under arrest! " Rosamond had
19	1854	FIC	PersonsPictures	namesake with the Saint before it were worth a score of such. " " Fie, sister! " said Blanche, gravely. " I do not love to
20	1854	FIC	MartinMerrivale	close behind, scolding him for taking her out in such a storm. " Fie, fie! " said Uncle Joe, in his best humor; " you
21	1854	FIC	MartinMerrivale	, scolding him for taking her out in such a storm. " Fie, fie! " said Uncle Joe, in his best humor; " you know I
22	1854	FIC	MartinMerrivale	together for the kitchen. " I hate this whispering -- whispering. " " Fie, fie, mother! " replied Uncle Joe. " If it' s
23	1854	FIC	MartinMerrivale	the kitchen. " I hate this whispering -- whispering. " " Fie, fie, mother! " replied Uncle Joe. " If it' s anything concerns
24	1854	FIC	MartinMerrivale	you mean to tell me I an't? " demanded Aunt Lucia. " Fie, fie, mother! keep your temper. " " Keep my temper! -- Do
25	1854	FIC	MartinMerrivale	to tell me I an't? " demanded Aunt Lucia. " Fie, fie, mother! keep your temper. " " Keep my temper! -- Do
26	1854	FIC	MartinMerrivale	-- can it be aught else? -- creeps through all their veins. But fie on such details! " Are you jealous now, my child? " Martin
27	1855	FIC	HeartsSecretOr	truth as being the thing least likely to be believed by the other. " Fie, fie, Bezan. You in love, man? A soldier to marry
28	1855	FIC	HeartsSecretOr	being the thing least likely to be believed by the other. " Fie, fie, Bezan. You in love, man? A soldier to marry? By
29	1855	FIC	HeartsSecretOr	without a complaint; but this business is too much for me! " " Fie, fie, man, " said the prisoner, with assumed indifference; "
30	1855	FIC	HeartsSecretOr	complaint; but this business is too much for me! " " Fie, fie, man, " said the prisoner, with assumed indifference; " look upon
31	1855	FIC	HeartsSecretOr	able to go to-morrow -- at least I fear I shall not. " " Fie, fie, my daughter; thou, the prettiest bird in all the island
32	1855	FIC	HeartsSecretOr	go to-morrow -- at least I fear I shall not. " " Fie, fie, my daughter; thou, the prettiest bird in all the island, to
